year,age
1962,63.01148094
1963,63.23578485
1964,63.45157331
1965,63.66625528
1966,63.88622618
1967,64.11691127
1968,64.36515254
1969,64.63369933
1970,64.92574088
1971,65.24267958
1972,65.58026746
1973,65.93072577
1974,66.28955265
1975,66.65087235
1976,67.00899463
1977,67.35940074
1978,67.69830141
1979,68.02206614
1980,68.32929356
1981,68.61703445
1982,68.89015226
1983,69.1519207
1984,69.40474575
1985,69.65325858
1986,69.90010634
1987,70.14853528
1988,70.40128342
1989,70.65779572
1990,70.92044409
1991,71.18773869
1992,71.45792226
1993,71.72880883
1994,71.99914275
1995,72.26824757
1996,72.53597252
1997,72.8009705
1998,73.06324586
1999,73.32034347
2000,73.57207701
2001,73.81901117
2002,74.06140216
2003,74.29901207
2004,74.53184348
2005,74.75972955
2006,74.98255907
2007,75.19889267
2008,75.40791766
2009,75.6064355
2010,75.79106424
2011,75.95720977
2012,76.10318017
2013,76.23112521
2014,76.34333386
2015,76.44286453
2016,76.53703933
2017,76.62993096
2018,76.72842701
