year,age
1962,46.423
1963,47.28
1964,48.306
1965,49.456
1966,50.664
1967,51.851
1968,52.95
1969,53.93
1970,54.778
1971,55.505
1972,56.155
1973,56.764
1974,57.345
1975,57.904
1976,58.445
1977,58.962
1978,59.456
1979,59.928
1980,60.385
1981,60.83
1982,61.265
1983,61.689
1984,62.105
1985,62.508
1986,62.896
1987,63.263
1988,63.61
1989,63.938
1990,64.25
1991,64.551
1992,64.846
1993,65.14
1994,65.44
1995,65.748
1996,66.067
1997,66.397
1998,66.735
1999,67.081
2000,67.432
2001,67.786
2002,68.139
2003,68.489
2004,68.835
2005,69.179
2006,69.525
2007,69.876
2008,70.231
2009,70.591
2010,70.951
2011,71.309
2012,71.659
2013,71.997
2014,72.319
2015,72.62
2016,72.897
2017,73.15
2018,73.381
