year,age
1962,69.075
1963,69.343
1964,69.565
1965,69.749
1966,69.903
1967,70.035
1968,70.153
1969,70.264
1970,70.372
1971,70.476
1972,70.574
1973,70.665
1974,70.752
1975,70.836
1976,70.918
1977,71.001
1978,71.089
1979,71.186
1980,71.302
1981,71.451
1982,71.633
1983,71.844
1984,72.075
1985,72.304
1986,72.506
1987,72.662
1988,72.763
1989,72.808
1990,72.808
1991,72.781
1992,72.754
1993,72.747
1994,72.771
1995,72.827
1996,72.911
1997,73.011
1998,73.12
1999,73.239
2000,73.372
2001,73.527
2002,73.709
2003,73.924
2004,74.173
2005,74.457
2006,74.778
2007,75.129
2008,75.501
2009,75.884
2010,76.265
2011,76.634
2012,76.981
2013,77.301
2014,77.588
2015,77.839
2016,78.057
2017,78.25
2018,78.425
