year,age
1962,70.151
1963,70.205
1964,70.255
1965,70.31
1966,70.378
1967,70.466
1968,70.582
1969,70.731
1970,70.921
1971,71.157
1972,71.437
1973,71.751
1974,72.09
1975,72.444
1976,72.8
1977,73.146
1978,73.469
1979,73.763
1980,74.02
1981,74.235
1982,74.416
1983,74.57
1984,74.702
1985,74.82
1986,74.932
1987,75.045
1988,75.165
1989,75.296
1990,75.44
1991,75.597
1992,75.761
1993,75.929
1994,76.097
1995,76.263
1996,76.425
1997,76.582
1998,76.734
1999,76.883
2000,77.033
2001,77.191
2002,77.359
2003,77.539
2004,77.73
2005,77.931
2006,78.14
2007,78.352
2008,78.557
2009,78.749
2010,78.916
2011,79.049
2012,79.143
2013,79.2
2014,79.224
2015,79.223
2016,79.21
2017,79.198
2018,79.199
