year,age
1962,63.281
1963,63.523
1964,63.754
1965,63.985
1966,64.226
1967,64.482
1968,64.756
1969,65.053
1970,65.374
1971,65.719
1972,66.081
1973,66.453
1974,66.83
1975,67.21
1976,67.592
1977,67.973
1978,68.351
1979,68.72
1980,69.073
1981,69.402
1982,69.706
1983,69.987
1984,70.246
1985,70.492
1986,70.738
1987,70.992
1988,71.26
1989,71.543
1990,71.835
1991,72.125
1992,72.403
1993,72.661
1994,72.899
1995,73.121
1996,73.333
1997,73.545
1998,73.767
1999,74
2000,74.247
2001,74.507
2002,74.776
2003,75.048
2004,75.321
2005,75.591
2006,75.854
2007,76.109
2008,76.355
2009,76.591
2010,76.82
2011,77.043
2012,77.264
2013,77.484
2014,77.704
2015,77.92
2016,78.132
2017,78.336
2018,78.529
