year,age
1960,54.60
1961,55.11
1962,55.53
1963,56.08
1964,56.77
1965,57.46
1966,58.21
1967,58.94
1968,59.57
1969,60.17
1970,60.75
1971,61.27
1972,61.73
1973,62.15
1974,62.64
1975,63.09
1976,63.52
1977,63.98
1978,64.37
1979,64.78
1980,65.09
1981,65.46
1982,65.80
1983,66.05
1984,66.32
1985,66.56
1986,66.84
1987,67.09
1988,67.30
1989,67.53
1990,67.75
1991,67.96
1992,68.13
1993,68.29
1994,68.53
1995,68.72
1996,68.98
1997,69.23
1998,69.45
1999,69.63
2000,69.87
2001,70.11
2002,70.34
2003,70.57
2004,70.89
2005,71.16
2006,71.51
2007,71.84
2008,72.16
2009,72.52
2010,72.84
2011,73.19
2012,73.48
2013,73.78
2014,74.07
2015,74.27
2016,74.50
2017,74.70
2018,74.87
